workload,total_num_tasks,total_task_durations,total_num_objects,total_object_sizes,norm_critical_path,num_nodes,worker_per_node,data_transfer_cost,scheduler,total job completion
rnn,217,2.2223927975,216,304192,0.9967651824,6,4,0.1, location_aware,824.472981
rnn,217,2.2223927975,216,304192,0.9967651824,6,4,1, location_aware,8038.872981
rnn,217,2.2223927975,216,304192,0.9967651824,6,4,10, location_aware,80182.872981
rnn,217,2.2223927975,216,304192,0.9967651824,6,4,100, location_aware,801622.872981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,0.001, location_aware,27.896981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,0.01, location_aware,73.112981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,0.1, location_aware,525.272981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,1, location_aware,5046.872981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,10, location_aware,50262.872981
rnn,217,2.2223927975,216,304192,0.9967651824,6,5,100, location_aware,502422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,0.001, location_aware,35.912981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,0.01, location_aware,153.272981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,0.1, location_aware,1326.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,1, location_aware,13062.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,10, location_aware,130422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,2,100, location_aware,1304022.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,0.001, location_aware,33.560981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,0.01, location_aware,129.752981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,0.1, location_aware,1091.672981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,1, location_aware,10710.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,10, location_aware,106902.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,3,100, location_aware,1068822.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,0.001, location_aware,30.888981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,0.01, location_aware,103.032981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,0.1, location_aware,824.472981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,1, location_aware,8038.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,10, location_aware,80182.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,4,100, location_aware,801622.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,0.001, location_aware,27.896981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,0.01, location_aware,73.112981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,0.1, location_aware,525.272981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,1, location_aware,5046.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,10, location_aware,50262.872981
rnn,217,2.2223927975,216,304192,0.9967651824,7,5,100, location_aware,502422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,0.001, location_aware,35.912981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,0.01, location_aware,153.272981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,0.1, location_aware,1326.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,1, location_aware,13062.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,10, location_aware,130422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,2,100, location_aware,1304022.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,0.001, location_aware,33.560981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,0.01, location_aware,129.752981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,0.1, location_aware,1091.672981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,1, location_aware,10710.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,10, location_aware,106902.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,3,100, location_aware,1068822.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,0.001, location_aware,30.888981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,0.01, location_aware,103.032981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,0.1, location_aware,824.472981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,1, location_aware,8038.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,10, location_aware,80182.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,4,100, location_aware,801622.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,0.001, location_aware,27.896981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,0.01, location_aware,73.112981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,0.1, location_aware,525.272981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,1, location_aware,5046.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,10, location_aware,50262.872981
rnn,217,2.2223927975,216,304192,0.9967651824,8,5,100, location_aware,502422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,0.001, location_aware,35.912981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,0.01, location_aware,153.272981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,0.1, location_aware,1326.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,1, location_aware,13062.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,10, location_aware,130422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,2,100, location_aware,1304022.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,0.001, location_aware,33.560981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,0.01, location_aware,129.752981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,0.1, location_aware,1091.672981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,1, location_aware,10710.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,10, location_aware,106902.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,3,100, location_aware,1068822.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,0.001, location_aware,30.888981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,0.01, location_aware,103.032981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,0.1, location_aware,824.472981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,1, location_aware,8038.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,10, location_aware,80182.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,4,100, location_aware,801622.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,0.001, location_aware,27.896981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,0.01, location_aware,73.112981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,0.1, location_aware,525.272981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,1, location_aware,5046.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,10, location_aware,50262.872981
rnn,217,2.2223927975,216,304192,0.9967651824,9,5,100, location_aware,502422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,0.001, location_aware,35.912981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,0.01, location_aware,153.272981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,0.1, location_aware,1326.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,1, location_aware,13062.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,10, location_aware,130422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,2,100, location_aware,1304022.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,0.001, location_aware,33.560981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,0.01, location_aware,129.752981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,0.1, location_aware,1091.672981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,1, location_aware,10710.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,10, location_aware,106902.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,3,100, location_aware,1068822.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,0.001, location_aware,30.888981
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,0.01, location_aware,103.032981
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,0.1, location_aware,824.472981
