workers,scale,load,1 layer average time,1 layer 90th precntile,1 layer worst time, 2 layers average time,2 layers 90th precntile,2 layers worst time, 3 layers average time,3 layers 90th precntile,3 layers worst time, 4 layers average time,4 layers 90th precntile,4 layers worst time, 5 layers average time,5 layers 90th precntile,5 layers worst time, 6 layers average time,6 layers 90th precntile,6 layers worst time
1,5,5,0.180665969849,0.0703299045563,1.22647619247,0.138087320328,0.155743122101,0.172143936157,0.200848197937,0.209635972977,0.227616071701,0.304279994965,0.308855056763,0.512032032013,0.356400370598,0.399891853333,0.400444030762,0.439852786064,0.46500992775,0.633258104324
1,10,10,0.17149207592,0.114588022232,1.02502393723,0.148121404648,0.17352604866,0.175508975983,0.212504553795,0.242220878601,0.245254993439,0.288716697693,0.318325996399,0.361624956131,0.378423523903,0.431387901306,0.570517063141,0.454788351059,0.462973833084,0.649684906006
1,15,15,0.190269112587,0.112901926041,1.16172409058,0.143517374992,0.145176887512,0.172209978104,0.22181725502,0.268512964249,0.27556014061,0.323822188377,0.413717031479,0.423801898956,0.399374389648,0.428775787354,0.506901979446,0.500889611244,0.596411943436,0.647203922272
1,20,20,0.17055618763,0.0871570110321,1.03890895844,0.152966451645,0.164859056473,0.192685127258,0.245336866379,0.264118909836,0.281795024872,0.362283301353,0.470336914062,0.519366979599,0.414349913597,0.42998790741,0.58738899231,0.493486523628,0.524197101593,0.564758062363
1,25,25,0.18232254982,0.127519845963,1.08255386353,0.166412305832,0.198352813721,0.234354019165,0.27660946846,0.37645483017,0.418617963791,0.366296505928,0.520812034607,0.534421920776,0.425464701653,0.449439048767,0.595582008362,0.501473212242,0.539247989655,0.550648927689
1,30,30,0.186817598343,0.113346099854,1.1125600338,0.169979596138,0.179229021072,0.184888124466,0.297813892365,0.338135004044,0.454720973969,0.377807211876,0.37312912941,0.590554952621,0.463075351715,0.523384809494,0.574900865555,0.552536988258,0.576417922974,0.68897986412
1,35,35,0.197972750664,0.151248931885,1.1097099781,0.190488433838,0.190500020981,0.252794027328,0.309598231316,0.333084106445,0.439829826355,0.401577806473,0.441585063934,0.503015995026,0.493433761597,0.533246994019,0.551666975021,0.615104389191,0.683708906174,0.768635988235
1,40,40,0.221003293991,0.156445026398,1.18933200836,0.215078377724,0.217865943909,0.3338971138,0.329384279251,0.352854967117,0.484257936478,0.448148107529,0.467244148254,0.612023115158,0.556009531021,0.610508203506,0.611904859543,0.667188715935,0.720112085342,0.798018932343
1,45,45,0.227034711838,0.136121988297,1.22528004646,0.221613526344,0.225130081177,0.226084947586,0.359273314476,0.384239912033,0.400849103928,0.465965390205,0.500688076019,0.563979148865,0.60957262516,0.672832965851,0.717776060104,0.763149166107,0.847269058228,0.859424829483
1,50,50,0.238603591919,0.179322957993,1.18070793152,0.266335344315,0.279649972916,0.367999076843,0.407259607315,0.445099115372,0.546802997589,0.524662280083,0.547934055328,0.572767972946,0.696401262283,0.73198390007,0.913053035736,0.840416455269,0.913059949875,0.957163095474
